filename,min_wave,max_wave
galaxy_20185_goods-n-mediumhst_spectrum.fits,14588.714919697066,14764.553187110048
galaxy_25351_goods-n-mediumjwst_spectrum.fits,15573.681745868458,15761.391851282702
galaxy_28187_goods-n-mediumhst_spectrum.fits,15964.36769767064,16156.786753890052
galaxy_65099_goods-n-mediumhst_spectrum.fits,13991.36240719042,14160.000764850409
galaxy_804_goods-n-mediumhst_spectrum.fits,18227.288274718347,18446.982388113905
galaxy_988_goods-n-mediumhst_spectrum.fits,31419.428067714067,31798.127481949272
galaxy_10000885_goods-n-mediumjwst_spectrum.fits,21917.632663525615,22181.806620900374
galaxy_10009642_goods-s-mediumjwst1180_spectrum.fits,24087.486362871587,24377.813639242075
galaxy_1048_goods-n-mediumhst_spectrum.fits,19267.637022438983,19499.870493983042
galaxy_1109_goods-n-mediumhst_spectrum.fits,19503.567814419297,19738.644967666616
galaxy_1109_goods-n-mediumhst_spectrum.fits,20227.878385010732,20471.685677718775
galaxy_1121_goods-n-mediumhst_spectrum.fits,16636.190134744327,16836.706689200866
galaxy_1137_goods-n-mediumhst_spectrum.fits,18226.02818268304,18445.70710814728
galaxy_13369_goods-s-mediumhst_spectrum.fits,16986.37608374791,17191.113441125344
galaxy_15529_goods-n-mediumjwst_spectrum.fits,19266.539207995538,19498.759447545504
galaxy_17566_goods-s-deephst_spectrum.fits,30374.82238461107,30740.931131713656
galaxy_17722_goods-n-mediumjwst_spectrum.fits,24566.493239331543,24862.594001557314
galaxy_1882_goods-n-mediumhst_spectrum.fits,27097.14906061039,27423.75190183912
galaxy_1927_goods-n-mediumhst_spectrum.fits,18215.003480901483,18434.54952526751
galaxy_1949_goods-n-mediumhst_spectrum.fits,19198.14669215784,19429.542594433748
galaxy_206035_goods-s-mediumjwst1180_spectrum.fits,23764.64352312824,24051.079563985553
galaxy_21150_goods-s-deephst_spectrum.fits,15371.405583139589,15556.677647219214
galaxy_22481_goods-n-mediumhst_spectrum.fits,16600.364482135174,16800.44922880615
galaxy_2347_goods-n-mediumhst_spectrum.fits,28054.570518194745,28392.71319217861
galaxy_23682_goods-n-mediumhst_spectrum.fits,15560.565321499935,15748.117334213875
galaxy_23742_goods-n-mediumhst_spectrum.fits,15564.261204154762,15751.857763465587
galaxy_24755_goods-n-mediumhst_spectrum.fits,14837.217260652522,15016.05073506778
galaxy_25603_goods-n-mediumjwst_spectrum.fits,14878.585412778997,15057.917498911327
galaxy_26113_goods-n-mediumhst_spectrum.fits,16059.400091129453,16252.964575956245
galaxy_26566_goods-n-mediumhst_spectrum.fits,15573.90388884281,15761.616671753733
galaxy_27003_goods-n-mediumhst_spectrum.fits,27855.220566331922,28190.96046869832
galaxy_27145_goods-n-mediumhst_spectrum.fits,15892.46592401226,16084.01834575608
galaxy_27286_goods-n-mediumhst_spectrum.fits,15582.436235371964,15770.251858940128
galaxy_28746_goods-n-mediumjwst_spectrum.fits,21970.198673792216,22235.00621104162
galaxy_2945_goods-n-mediumhst_spectrum.fits,16605.13712758713,16805.27939911289
galaxy_29648_goods-n-mediumjwst_spectrum.fits,14731.387083995563,14908.944983762485
galaxy_3008_goods-n-mediumhst_spectrum.fits,22574.585474295585,22846.677705805778
galaxy_33828_goods-s-mediumjwst_spectrum.fits,20647.94336391663,20896.81371382322
galaxy_34104_goods-s-mediumjwst_spectrum.fits,27911.80324468173,28248.22513995712
galaxy_3451_goods-n-mediumhst_spectrum.fits,15811.844161298457,16002.424846247815
galaxy_3892_goods-s-deephst_spectrum.fits,13974.382970543818,14142.816674487698
galaxy_39898_goods-s-mediumjwst_spectrum.fits,15777.035857860375,15967.196997167652
galaxy_4270_goods-s-deephst_spectrum.fits,20025.82691391858,20267.198873507794
galaxy_42789_goods-s-mediumjwst_spectrum.fits,13972.06426787892,14140.470024422259
galaxy_45976_goods-s-mediumjwst1180_spectrum.fits,15347.929150233103,15532.918252084044
galaxy_54612_goods-s-mediumjwst_spectrum.fits,15348.275968641341,15533.269250706122
galaxy_59412_goods-n-mediumjwst_spectrum.fits,25802.126869705247,26113.12076528225
galaxy_634_goods-n-mediumhst_spectrum.fits,19797.029639623575,20035.643898036073
galaxy_643_goods-n-mediumhst_spectrum.fits,26617.166473376205,26937.984068475154
galaxy_70920_goods-n-mediumjwst_spectrum.fits,25067.096285932417,25369.23083337234
galaxy_71890_goods-n-mediumjwst_spectrum.fits,16994.061096670586,17198.89108176505
galaxy_78773_goods-n-mediumjwst_spectrum.fits,25821.444287463066,26132.671016520475
galaxy_82948_goods-n-mediumjwst_spectrum.fits,19442.96677673573,19677.313503655005
galaxy_902_goods-n-mediumhst_spectrum.fits,20216.11194019591,20459.77741155223
galaxy_946_goods-n-mediumhst_spectrum.fits,23371.39803794856,23653.09427785955
